"title","review","stars","productname","platform"
App,Need the iphone or go by hand book? I’m all over the map figuring out vehicle. Nee basic step by step. Love the truck! Help!,"5.00",TOYOTA,IOS
Just OK,"I’m trying not to compare this to other apps but my biggest problem is that even though the box is checked to keep me signed in, I’m constantly getting signed out which almost makes the app useless. It would take me less time to go and find my key fob then to re-sign  back into the app. This makes Siri Shortcuts integration useless.","3.00",TOYOTA,IOS
“Our app is 2 stars…let’s raise the price”,Brilliant move from Toyota. More than double the price from 80 to 180 for the remote connect features instead of trying to address the issues everyone complains about with the app. Thanks for listening to the feedback of your customers…,"1.00",TOYOTA,IOS
This app is horrible,"The update to the app has ruined it. Previously if I plugged my phone into the car I was given a full reading of my vehicle including air pressure of each tire. 
Now I see nothing. Not even an odometer reading.","1.00",TOYOTA,IOS
Not a fan,"Unfortunately this app continues to get worse & unnecessarily complicated. I’ve had this vehicle for nearly 2 years and I still miss the ease of consistency of the Drone app I had put in with my Rav. A few things I dislike about the Toyota remote start app- time lapse required between “locking” and “start”, length of time needed to press start for it to work/get feedback that it worked, requirement for all windows to be fully closed for start to work (on hot days I leave windows open a little”, new updates make it more cumbersome to get to start…it’s a Remote Start app- this should be the EASIEST feature to locate when opening. Love Toyota, just not the app.","2.00",TOYOTA,IOS
"","Super glitchy and sometimes unstable. More often, I get an error ""Sign in is taking longer than usual""","2.00",TOYOTA,ANDROID
"","No one should have to pay for an app to use there car. It's also slow, inaccurate, not a fan. I may trade in my vehicle for a vehicle that actually has start up functions on keypad. This is robbery for toyota to charge monthly service fees just to use this app","1.00",TOYOTA,ANDROID
"","It'd be cool if it actually worked. Instead, every time I want to remote start my car, it just gets stuck on the loading screen and doesn't go anywhere. I feel like I won the lottery when it works and I can actually use it.","1.00",TOYOTA,ANDROID
Entire app is an upsell.,This app does nothing for you without you paying for it. What a cash grab!,"1.00",TOYOTA,IOS
"",App dose not work at all,"1.00",TOYOTA,ANDROID
"",was working fine but now for so e reason said I was logged out and when I try to log back it it doesn't do anything otherwise I would give it a 5 star plz fix it ty,"1.00",TOYOTA,ANDROID
"",Terrible app. Terrible car infotainment system. Neither will work with each other: Android <--> Toyota,"2.00",TOYOTA,ANDROID
SUV turns off,The app is great to start your car. The downfall is the car turns completely off when you reach it and open the door. It’s a pain to pay this much for a SUV to not be and to remote start.,"2.00",TOYOTA,IOS
"",Impossible to set up Android Auto and helpline doesn't help!!!,"1.00",TOYOTA,ANDROID
Very unreliable and slow app,"I’m very surprised to see such a bad quality from Toyota. This app is awful: it has constant issues with signing in, either it does not work or displays a message that sign in tajes longer than expected and continues to spin. Also the UI responsiveness and communication with the car is painfully slow as well. Toyota step up and fix the issues","2.00",TOYOTA,IOS
What is wrong with this company?,Why can’t Tiara stop treating customers like we’re idiots and animals and create a decent car app not filled with bloatware and data mining. After all the money we pay for your car we’re forced to choose this garbage app? Really Toyota ?!?  Fire your app developers and get someone new.,"1.00",TOYOTA,IOS
"",does not do a thing that is helpful,"1.00",TOYOTA,ANDROID
Using Toyota app with iPhone 15 pro,"You’d think it would be smooth and fast but it is slow, always signs me out of the app, and functionality is very basic. Using this app with my brand new 2023 tundra","1.00",TOYOTA,IOS
"","Still no support for garmin watches, app is still buggy. Not going to pay 80/yr for remote start especially when Toyota is collecting and profiting off data I provide! Definitely won't pay for dynamic navigation when my garmin gps does better. I would use these features if Toyota paid for through feedback and suggestions that I provide other companies, but mediocre is the apps mo","1.00",TOYOTA,ANDROID
"","The last update forced relogging into the app. It will not accept the verification code., so the app cannot be used.","1.00",TOYOTA,ANDROID
"","Was working fine, more or less, but a few updates ago, it stopped showing my tire pressure. Car doesn't show tire pressure in car at all, so the app was the only digital wat of checking. Kind of annoying to have a 2022 car and no digital method of seeing tire pressure. Not the end of the world, but I'm not using the app for much else","2.00",TOYOTA,ANDROID
"","One of the worst thing ever happened today. I got stuck in my job after 12 hour shift because of digital key. It didn't work, I restarted my cell phone 5 times . Some one has to bring an actual key from my home to start the car. Being with lexus famil since 2019 i would say Lexus is an unreliable brand now.","1.00",LEXUS,ANDROID
"",complete junk! this app keeps forgetting the car I have added. I have to add it back every other day. very slow to login. can't login to evgo section.,"1.00",TOYOTA,ANDROID
Paying For Remote Connect & It Won’t Authorize,"I have just finished the 1 year of free remote connect trial and so I paid for the monthly subscription (eye roll) and guess what, it wouldn’t even generate a QR code for me so I removed the profile from my truck, deleted the application on my phone and reinstalled. Surprise surprise, I had to pay for ANOTHER month of remote connect, even though the first charge was only a week prior and figured since at least it was generating a QR code now, I could live with the overcharge because I won’t have to take time off to go into the shop but NOPE, that was a wrong thought. Now it will generate a QR code but it won’t authorize and it keeps failing. 
Why does my friend who owns a substantially cheaper vehicle Hyundai, have the ability to control climate, remote start, etc but I can’t even get remote connect to work when I’ve paid for it twice. Horrible developers or extremely shorthanded. I am far from tech illiterate. 
Get your self together, Toyota.","1.00",TOYOTA,IOS
Bait n switch - Toyota lies,"Bought a 2024 RAV4 Prime last year. Was told remote connect would be 8/month after my 12 month free trial ended. Now that it’s ended, this subscription is now 15 /month. TOYOTA LIES!!","1.00",TOYOTA,IOS
"",There is no explanation of what this appt does. I'm looking for an app to connect my android phone to a Toyota Prius,"1.00",TOYOTA,ANDROID
"","Considering how much they charge to use all these features, you would think they would make sure the app works well but it doesn't. The remote start feature is clunky and slow. I tried to share access with my wife it locked me out the one time it would have been convenient to use it. The service feature doesn't work, I was not about to make a service appointment. I had a warning light on that wasn't indicated in the vehicle health part and the app is not linking with my finance account.","1.00",TOYOTA,ANDROID
Does nothing,"This app does nothing as advertised 
No odometer reading the status section is blank
Going to uninstall this","1.00",TOYOTA,IOS
"","Was loving the app, but now instead of saying ""Lexus"" it's notifying my phone with ""null"". Not sure how to fix.","4.00",LEXUS,ANDROID
"",Junk.,"1.00",TOYOTA,ANDROID
"",I have really liked the service,"5.00",TOYOTA,ANDROID
"",Leaves alot to be desired....not great compared to competitors,"1.00",TOYOTA,ANDROID
Unable to schedule service through app,I only used the app to schedule service appointments with a dealer. I have been unable to do so for the last year.,"1.00",TOYOTA,IOS
Worst app,If I could give this app a zero I would. I just spent 45 minutes trying to set up my iphone with a brand new Toyota. Neither the QR code or text code pop up anywhere on the multi media screen. I’ve watched many videos online and read many reviewers complaining of the same and at this point I give up. I see some reviews of this complaint that are over a year old. Do better for your customers who pay a lot of money for your services.,"1.00",TOYOTA,IOS
Awful,"Face ID never works, keeps signing you out even if you select to stay signed in. This is annoying","1.00",TOYOTA,IOS
"",It's easy,"5.00",TOYOTA,ANDROID
"",Really need it now and not working. This app sucks,"1.00",TOYOTA,ANDROID
"","With an astounding 2.5 rating & 1M downloads, Toyota may want to rethink","1.00",TOYOTA,ANDROID
"",Currently August 19th 2024 and my 2022 RAV4's last status update was July 5th 2024. I just canceled my yearly SafetyConnect subscription and got some prorated money back .,"1.00",TOYOTA,ANDROID
Worst app ever,"One would think that a company like Lexus would get it together and make an app that functions well.
Keeps logging you out and the app itself keeps crashing. Absolute trash app.","1.00",LEXUS,IOS
App Function Failure,"The app has said there is an error, when attempting to access the payment t option, for months. Why has no one noticed this malfunction.  The website goes to a generic page, despite the device I use.  That seems suspicious.","2.00",TOYOTA,IOS
"","My car won't link, I've owned it for about half a year. it will not link because ""it's a dealer or fleet owned or Comercial"" but it's not. Edit on 7/18/24, STILL DOES NOT WORK edit on 8/19/24, Still doesn't work.","1.00",TOYOTA,ANDROID
"","This app doesn't allow permission when prompted to upload a photo from your gallery to display on your profile, it only allows you to take a photo. This permission should be unlocked.","4.00",TOYOTA,ANDROID
"",No good for Samsung Android system.,"1.00",TOYOTA,ANDROID
Constantly problematic for years,"Every update you loose something, now service history is gone from the app. Come on Toyota. Fix this app. Catch up with other auto makers’ app quality and service.","1.00",TOYOTA,IOS
Unbelievable !!!,"It is unbelievable to me how Lexus can allow something so poor to be attached to their product. Is this a nepotism situation within the company of whoever is responsible for this app?
Many of us have only one physical key until Lexus sends us an additional one and the app is 99% unreliable as digital key. My guess is you are trying to be all things to all people in this app and therefore, no things to everyone! Get it fixed or scrap it and start over!","1.00",LEXUS,IOS
"","Needs my email. F you it's a car you dont need my email. Scanned my vin, didnt recognize it. At the point I gave up on what's probably an ad filled app.","1.00",TOYOTA,ANDROID
CarPlay issue,Toyota listen up. this app is causing problems with CarPlay in 23/24 ravs. If this is installed CarPlay is glitchy as hell and dangerous as soon as you uninstall this app it works great!!! Fix the issue.,"1.00",TOYOTA,IOS
"",Horrible App. Never recognizes my car. Always tells me to add a new car. Doesn't do anything but take up space on my phone.,"1.00",TOYOTA,ANDROID
Toyota app is worthless. Doesn’t work.,"40,000 RAV4 and NO app.  Dealership lies aooooo bad.  
No remote start
No door unlock
Home does NOY ring when corded to car
Messages do NOT ding when corded to car
App claims SIRI must be used
Maos don’t display from phone to car monitor
Worthless.  It’s like no one at Toyota has an Apple iPhone. 
It’s like no one at Apple owns a Toyota. 
Developer won’t reply
Toyota brand office says too bad too sad
Don’t waste your money on a Toyota if you expect an app to support your vehicle.","1.00",TOYOTA,IOS
"","Hate new layout and now maintenance history is missing. After last update I was able to go in and find my maintenance history & see it, now today I can't get it to show. Also every time I click on maintenance schedule it shows incorrect odometer in blue circle a 35,400 miles even tho I have 67+k miles and I keep changing it to correct mileage and saving it and it defaults back to 35,400 every time I go back to that section. The main page shows my correct mileage though. Worst update!","1.00",TOYOTA,ANDROID
"","This app is horrible. I've re-downloaded it many times, and it will not give me any options to use. No remote start, no lock or unlock for doors. It doesn't give tire pressure, oil status, or gas or engine fluids status. Keeps asking for permission to send notifications. DON'T DO IT! You will get repeated continuous notifications. So you have to turn it off. Various other things it doesn't display. So sad.","1.00",TOYOTA,ANDROID
"2025 NX 450h+ is awesome, app is disappointing","I made the mistake of buying the car before checking the app reviews. I won’t make that mistake again. It’s unbelievable that basic functionality is not working reliably. It’s enraging to have to sign into the app manually every day even though “keep me signed in” it toggled on and Face ID is enabled. Why does it need to send me a text every time, to sign in? This is basic stuff that should have been fixed before the app was ever released. This has seriously diminished my new owners satisfaction. Next issue is the digital key. I’m on my 3rd call to customer service to get that working reliably. It works for a while then needs to be downloaded again. When trying to download it again there is an error that seemingly can’t be fixed without a call to “connected services”. In my experience it takes them 2-3 business days to resolve the issue. This makes “digital key” useless. It would have been nice if it could be relied upon. One of the reasons I bought the car is that I like to do water sports. Taking my waterproof phone or watch would have been preferable to taking the (not waterproof) key card or fob. A related issue is that the Apple Watch cannot be used for anything without the phone in range. This is true even if the watch is connected to WiFi or cellular data. The advertising makes it seem like the watch alone can be used to lock / unlock / start the vehicle but this is not true. When the watch is away from the phone it just says “please connect to your iPhone and try again”, disappointing. This functionality would be very helpful for water sports, runs or bike rides in questionable weather. I believe all of these frustrations would have been avoided if Lexus just implemented “Apple Car Key”. I have used cars with that system and they just work, every time. Another, less critical, problem with the app is the inability to set up or modify the charging schedule from the app. When staying hotels, high rise buildings, or apartments with garages some distance away it would be helpful to implement a charging schedule with climate control remotely. If there is a schedule set, and plans change there doesn’t appear to be any way to tell the car to “charge now” other than getting in the car and changing it on the screen.   For such an amazing car it’s really disappointing to have an app this bad. I really hope they fix it soon. I would really like to purchase a Lexus again but if the app ratings don’t improve I’ll be looking elsewhere.","1.00",LEXUS,IOS
Lexus inform app,Terrible my remote start never works,"1.00",LEXUS,IOS
Can’t add my new pre owned Toyota,I downloaded this app because I just bought my first pre owned Toyota Corolla and it won’t even let me add my car to the vin section so it’s completely unusable for me. Is there any way to correct this matter?,"1.00",TOYOTA,IOS
Lexus Claims App Drains My Battery,"My ‘24 NX450h+ was repeatedly locking me out (or in) in my driveway.  The dealer and manufacturer both claim that was caused by the app being non responsive when my car would attempt to update the app.  They say the car’s cell would try to “call” the app but the app wouldn’t “answer”, causing the car to try again every 2.5 minutes, eventually draining the battery.  They removed the app from my phone and iPad.  They told me that a new version of the app would be released “any day now” back in June.  Since then I’ve had to drive in Guest Mode in my own car and just hope their story is correct.  How can Lexus not correct this problem right away?  Just such incredibly poor form!","1.00",LEXUS,IOS
"",Useless unless you pay up!,"1.00",TOYOTA,ANDROID
"",Does not connect.,"1.00",TOYOTA,ANDROID
"",Randomly decides to sign me out at the most inconvenient times but most annoying is when doing something else and it decides to pop open. Little concerning that it's running in the background like that for no reason.,"3.00",TOYOTA,ANDROID
"",Good,"5.00",TOYOTA,ANDROID
App,"I have been trying for days to log into this app and every time it says unable to process request then I had my wife do the same thing with her phone and the app, and all it says is unable to process request. What’s the point of having an app, if you can’t use it.","1.00",TOYOTA,IOS
"",The best vehicle ever bought my life,"5.00",TOYOTA,ANDROID
How can they make such a bad app?,"You are required to allow push notifications for the app in order to use the remote lock/unlock/start. Since I don’t need a push notification every time I have the tailgate down on my truck I keep the notifications off. So if I need to remotely lock my truck I need to turn on notifications, lock my truck, then turn notifications back off. User unfriendly and utterly stupid.","1.00",TOYOTA,IOS
"","For a luxury brand this app sucks. It's slow, hangs up, cannot connect with the car. I like the graphics and overall design but functionality it's embarrassing. If Yugo was still around it would have a better app. Get it right Lexus.","1.00",LEXUS,ANDROID
"","App is continually crashing, used to work prior to last update. Not working since 8/10, unable to log in, crashes upon launch.","3.00",TOYOTA,ANDROID
HORRIBLE,"If I could give this app zero stars I would! Nothing but problems. Now I can’t even sign in. Every time I try, the screen goes to black.","1.00",TOYOTA,IOS
"",It doesn't allow me to add or access anything. I bought my Camry as a second owner,"1.00",TOYOTA,ANDROID
"",It would be nice to have a widget that we can add to the home screen so that we can turn on or off the car right from the home screen. Of course you can take the fingerprint if needed,"4.00",TOYOTA,ANDROID
Toyota should be ashamed of this app,They do not respond to your feedback.  They charge about 80 a year to subscribe.  Not worth a cent!,"1.00",TOYOTA,IOS
"","App stopped showing correct mileage and fuel level over 700 miles ago. You're better off using pen, paper, and really paying attention to the vehicle as we had to do in the 70s and 80s. Besides, for all of the features of this app to work, you are required to pay extra for the extra services. This is in addition to any and all already required maintenance and service fees.","1.00",TOYOTA,ANDROID
Modifications needed!,"I hope the developers could see this:
I want to reduce the startup duration from 10 minutes to 5 minutes. 
Also if I start the car remotely and open the door the car keeps running, I don’t want it to shuts off and I have to start it again. 
Also not able to control everything in my car like climate for example.
Thank you!","3.00",TOYOTA,IOS
"",Nothing but trash,"1.00",LEXUS,ANDROID
It doesn’t work!!!,Bought a new Tundra a month ago and the app has been in “pending remote activation status” since day one.  The app says it “may take up to 24 hours to activate”.  It’s been 24 DAYS and it still doesn’t work.  Went back to the dealer and my salesman worked with someone through the SOS button in the truck for nearly 30 minutes.  They couldn't get it to activate and ended up giving me a 1-800 number to call.  I called that number (which is only active Mon-Fri during the day) and the person that answered transferred me back to the dealer again.  Thus is my first Toyota vehicle and based on this experience it will be my last.   I find it amazing that the app doesn’t work during the “free trial” period and Toyota actually thinks a person would PAY for something that doesn’t work.   Maybe Toyota should check with Ford.  We also have a Ford vehicle and their app works perfectly!!!!!,"1.00",TOYOTA,IOS
Not able to sync rental,VIN is not recognized. North American app that doesn’t work for Australian car. Don’t waste your time with this app.,"1.00",TOYOTA,IOS
"","Luxury right? Well the luxury part you may have nailed but the annoying background permission you have failed miserably at. I have refused maybe over 1,500 times and counting. When will Lexus learn one word? RESPECT?","1.00",LEXUS,ANDROID
"","Absolutely useless app. Does not do anything except you can schedule an appointment for service in the dealership for service. Ah, also, Toyota collects your location.","1.00",TOYOTA,ANDROID
What is the point of this app,None of the features work,"1.00",TOYOTA,IOS
"","I am trying to add my toyota Rav4 that was previously registered under another. When purchasing the vehicle used, it doesn't update automatically. They inform you of this and what to do when calling support. You send proof of ownership to the email they provide following the instructions. Items needed are vin, name , #, and proof ownership doc. like registration. Once complete, you wait abt. 8 business hrs for verif. After 8 hours, you wait 48 more. More updates soon.","2.00",TOYOTA,ANDROID
"2025 NX 450h+ is awesome, app is disappointing","I made the mistake of buying the car before checking the app reviews.  I won’t make that mistake again.  It’s unbelievable that basic functionality is not working reliably.  It’s enraging to have to sign into the app manually every day even though “keep me signed in” it toggled on and Face ID is enabled.  Why does it need to send me a text every time, to sign in?  This is basic stuff that should have been fixed before the app was ever released.  This has seriously diminished my new owners satisfaction.    Next issue is the digital key.  I’m on my 3rd call to customer service to get that working reliably.   It works for a while then needs to be downloaded again.  When trying to download it again there is an error that seemingly can’t be fixed without a call to “connected services”. In my experience it takes them 2-3 business days to resolve the issue.  This makes “digital key” useless.  It would have been nice if it could be relied upon.  One of the reasons I bought the car is that I like to do water sports. Taking my waterproof phone or watch would have been preferable to taking the (not waterproof) key card or fob.  A related issue is that the Apple Watch cannot be used for anything without the phone in range.  This is true even if the watch is connected to WiFi or cellular data.  The advertising makes it seem like the watch alone can be used to lock / unlock / start the vehicle but this is not true.  When the watch is away from the phone it just says “please connect to your iPhone and try again”, disappointing.  This functionality would be very helpful for water sports, runs or bike rides in questionable weather.  I believe all of these frustrations would have been avoided if Lexus just implemented “Apple Car Key”.  I have used cars with that system and they just work, every time.   Another, less critical, problem with the app is the inability to set up or modify the charging schedule from the app.  When staying hotels, high rise buildings, or apartments with garages some distance away it would be helpful to implement a charging schedule with climate control remotely.  For such an amazing car it’s really disappointing to have an app this bad.   I really hope they fix it soon. I would really like to purchase a Lexus again but if the app ratings don’t improve I’ll be looking elsewhere.","1.00",LEXUS,IOS
"","This app is awful and the fact that it's a necessity because Toyota is shipping cars without all the keys while chatging full price is unexcusable. App quits half the time while loading, has terrible notification settings and is not user friendly","1.00",TOYOTA,ANDROID
"",You pay a monthly fee for remote start and when you use it you have to try 5-10 times because it keeps telling you start failed. Useless waste if time and money.,"1.00",TOYOTA,ANDROID
"",Does nothing for me only tells me my tire pressure and recalls. Can't even enter Toyota Financial through the app,"1.00",TOYOTA,ANDROID
Someone broke our Lexus NX350h didn’t get notification,Someone smashed two windows and broke to our car. We didn’t get any notification and the system showing the windows are fine and closed. Lexus should seriously check it.,"1.00",LEXUS,IOS
Doesn’t work,"I pay for this app, but yet, the map doesn’t work and I cannot use the lock, unlock or remote start. I have uninstalled, reinstalled and and tried restarting my phone and still, it is not working. I am going to cancel my subscription","1.00",TOYOTA,IOS
"",when introduced vin# Prius 2017,"1.00",TOYOTA,ANDROID
"Thankfully, their trucks aren’t too bad",I don’t know why you constantly need to reset it you need to half the time. Try to get it to do something. You have to download another key to get into it. It’s a complete and total waste of time. Really you guys make fabulous cars. You can’t hire somebody to do a decent job with a piece of software.,"1.00",TOYOTA,IOS
Useless keeps logging me out every day,"I for one had great expectations for this app and this company since I love my car, but when I have to be subscribed to pay 15 for remote start and all its functionality, this is frustrating because I literally have to go out of my way to login manually when the app can’t simply just remember my settings when remember box has been checked. I have a BMW as well and this never happens on the BMW app if Toyota is going to charge for subscription, they should at least get their application fixed so that functionality. I hope developer see this message and realize they need to get their software corrected if they’re going to continue to charge clients subscription fee.
8/15 still no updates from Toyota to address this matter it’s sad that they cannot update this. The review ratings truly speak for themselves.","1.00",TOYOTA,IOS
Subscription,So after a year of having the vehicle (Prius) they want me to pay a subscription to be able to turn on/off the vehicle. What a disappointment. Ford does not do that to its customers. Money grab much ?,"1.00",TOYOTA,IOS
"",Sadly app does not load. Freezes at White screen with Lexus logo. Initially when I downloaded it worked well then all of the sudden it stopped.,"1.00",LEXUS,ANDROID
Not ready for release to the Toyota community,"I purchased a 2024 Grand Highlander in May 2024, having owned Highlanders since 2007. On first blush, I liked the digital features, but after 3 months, most have stopped working. The worst thing is the car came with only one key fob, and we were deceived by the dealer, being told we would get the second fob in July2024. It’s now mid August, and we are being told that there is no expected date for the second fob. The digital key on the app mysteriously disappeared, the Bluetooth connections. Branding representative didn’t finish the job and left me on the phone waiting for them to get back to me to help me reconnect my devices. This is the worst experience I’ve ever had with Toyota, and makes me regret buying the Grand Highlander.","1.00",TOYOTA,IOS
"",Can't open.,"1.00",LEXUS,ANDROID
"",Satisfactory,"5.00",TOYOTA,ANDROID
worst app,This is worst app a have ever seen. can not enter my cars Vin! App says wrong Vin: My car is from the saloon in 2016 and i’m owner. this is ridiculous 😂🤣🤣🤣 2016 LC Prado 3.0D,"1.00",TOYOTA,IOS
"",It Freezes. States my personal number and email are not recognized👎,"1.00",TOYOTA,ANDROID
Only odometer updated,"On my 2018 Lexus RX350, only function working is vehicle health. Other functions saying remote activation pending. Several weeks now. Useless as I can read odometer without an app.","1.00",LEXUS,IOS
"",X-÷,"4.00",TOYOTA,ANDROID
"","8/14/24-an update was done to the app but it still doesn't work. 6/13/24-is anyone able to use the app?....... 3/29/24 PLEASE FIX THE APP!!!!!...3/13/24 Hope for an upgrade that allows the app to work properly has completely disappeared. THIS APP SUCKS! Hire new developers...2/29/24 app crashed several times and now doesnt open. WORSE APP EVER¡ Fix the app!","1.00",TOYOTA,ANDROID
Do not buy a Toyota,"No chance I’ll ever buy a Toyota. Having to get a subscription to use features in my car is a no go for me. Such a shame, our rental was nice but we couldn’t listen to music or use our phone to navigate on screen. Honda is still better.","1.00",TOYOTA,IOS
"",Imposible que publiquen mi información personal,"1.00",LEXUS,ANDROID
Glitchy App,"I wish this worked better given that we pay a monthly fee to use it. If it was free it would be understandable but that's not the case.
Very glitchy, doesn't work smoothly and lately I get logged out every day. So anytime I want to use it I have to log back in which takes away the convenience this app may offer","1.00",TOYOTA,IOS
"",L'application ne fonctionne même pas,"1.00",TOYOTA,ANDROID
Even Hyundai has a better app,"Cannot believe that integrated technology was a downgrade coming from Hyundai to Lexus. This app is very glitchy, inconsistent and has very few features. My vehicle constantly disappears from the app to the point I have to keep linking it to my account. From the beginning I have not been able to link my Lexus financial account. Overall I feel this deserves zero stars. Not at all impressed given the things I've heard about Lexus over the years. Maybe take some notes from Hyundai's app for integration, functionality, reliability and overall better UX.","1.00",LEXUS,IOS
Horrible,"Forced to get the app with my new 2024 bz4x.
Trying to find a charging station shouldn’t be this hard. I thought I was finding a “hack” instead of flipping between charging station apps to find availability, I figured I’d just look on the Toyota app (where is lists both ev-go and ChargePoint)
It sent me to a dead end with no station at first, then sent me to a random parking lot - again no station in site. Finally gave up and just used the charge point app so I wasn’t wasting the battery. There’s no filters to designate what kind of charging station to look for, causing private chargers at people’s residences to show up on the app. Found this out when it sent  me to a random house! Again, these are all “available charging stations near me” that are appearing on the app. Seems highly dangerous for both driver and home owner.
Also, having the hardest time setting up the free Ev-Go. App doesn’t show my odometer, or how much charge I have. Dont get the point of this app","1.00",TOYOTA,IOS
"",I can not access to pay for my car,"5.00",TOYOTA,ANDROID
Too much data collection,App collects far too much personal data and paying monthly for features like remote start is absurd.,"1.00",TOYOTA,IOS
"",It would not let me add my vehicle keeps on saying try again,"1.00",TOYOTA,ANDROID
"","While the app does lock and unlock pretty well, all its other functions are extremely slow. The status of tire pressure and alerts are not timely at all. The update status does not appear to work, and you are stuck waiting for it to update on its own.","2.00",LEXUS,ANDROID
Slow,Very slow to get a response even if you just deleting a notification.  Very limited functionality this App provides comparing to other manufacturers’ Apps,"1.00",LEXUS,IOS
"",The app was working decent as far as letting me know if the vehicle was unlocked and all of the basic stuff. All of a sudden it doesn't work at all. Won't connect with my vehicle so now this app is completely useless. I will not renew the subscription.,"1.00",TOYOTA,ANDROID
I can only start my vehicle,"I can’t access any menu after leaving the Home Screen. I only see a white screen and data never loads. As a long time Toyota wonder, 7 vehicles and counting, I shouldn’t experience this when paying for added services. If you can’t manage the app properly, give us the key fob option back for free. 
Signed,
Previous Toyota  Dealer Employee and Sr Dir of Product in Automotive Software","1.00",TOYOTA,IOS
Features disappeared.,"The ap used to display odometer, mileage and amount of fuel. It no longer shows any of these. Completely useless now","1.00",TOYOTA,IOS
"",Very basic,"1.00",LEXUS,ANDROID
Toyota app,This app is awful will not be purchasing it. It logs me out constantly and when I finally get in I have to enter my vin number all over again.,"1.00",TOYOTA,IOS
Unable to Process…,Can’t get this app set up. Always “unable to process”…. This is for a Toyota???!! Needs much improvements.,"1.00",TOYOTA,IOS
"",Isnt working,"2.00",TOYOTA,ANDROID
"",This is a very expensive app period it goes out after some unknown time and it gives you noone to call to get help or information,"1.00",TOYOTA,ANDROID
Does not work!,Extremely disappointed with this app.  It worked the first month I owned my car and that was that.  I’ve reinstalled the app twice so far and still doesn’t work.  No more remote start or lock and unlock the car.  The only thing I can use this app for is to check my tire pressure.,"1.00",TOYOTA,IOS
"",App not loading payment. Says error. They need to hire a new Tech Company. This app is 🗑 🚮,"1.00",TOYOTA,ANDROID
App does not work - Info is wrong,"This App is useless! I drove @ 1/4 mile and the App said the PSI in ALL 4  tires had dropped. This has been happening for a while as I keep checking. They are at 29 pressure now, but my car dashboard has not given me a warning, and they don’t look low visually. It goes in for maintenance tomorrow, so will see.  Also, it no longer shows the actual number of miles you can drive before empty. Previously it would actually show the miles left. Now, It just shows a bar.. no way to measure against gallons or etc. 
I did not renew the Drive Connect service because in the year I’ve had the car I never used these features. However, this should have no bearing on the other information being inaccurate. It’s all a ripoff.. they use these features as a selling point..without telling you some are for short periods of time, then you have to pay monthly!!","1.00",TOYOTA,IOS
Digital key should not require app to be open to work,"The digital key needs to be in the Apple wallet like digital hotel keys are, so that the app does not have to be open to unlock the door/start the car.   Refresh needs to be a pull down action like most other apps rather than a button….   The app looks and fells outdated compared to most apps I use regularly.","2.00",LEXUS,IOS
"",Doesn't recognize my login after latest update. Terrible app.,"1.00",TOYOTA,ANDROID
Useless,"App just doesn’t work at all!! Registered the vehicle, created and set up the profile. Yet, at the next launch, vehicle and profile info disappeared. Repeated the process all over and yet all disappeared. The process itself is cumbersome and yet all went to waste!! What a waste of time!! Terrible app!! Wished I could give 0 star!!","1.00",LEXUS,IOS
"","Frustrating app, I don't use it anymore.","1.00",TOYOTA,ANDROID
"","the app won't load my car, making it unusable.","1.00",TOYOTA,ANDROID
Awful,Please fix the app .,"1.00",TOYOTA,IOS
Toyota App,This Application always has issues with vehicle communication. Developers must put a lot more effort and time to make this App work smoothly,"2.00",TOYOTA,IOS
"","Easy App, these low ratings do not make any sense","5.00",TOYOTA,ANDROID
Useless,This is a useless app. Literally does nothing and has no benefit. SUPPORT: Why download this app to “connect to my car” when it does nothing.,"1.00",TOYOTA,IOS
"",Unable to download your bloatware quickly onto my Nokia 300 cellphone. Very disgusting.,"1.00",TOYOTA,ANDROID
"2024 Camry TRD","This app does not support my vehicle. It does me NO GOOD!!! All it does is give me info of my vehicle, such as tire pressure & gas amount. Why can I not start my vehicle with this app?!!? I have a 2024 Camry TRD! My Mom has a 2023 Rav 4 XLE, she can remote start her vehicle thru the app. I know a few people with a Camry XSE, they can remote start their vehicle thru the app. The Camry TRD doesn’t even offer the start option on the app. WHY!??! This app serves ME NO PURPOSE!!! I can look at my tire pressure while I’m in my vehicle. I can see my gas tank along with the DTE while I’m in my vehicle. I can read my manual that’s in the vehicle, I don’t need it on the app!!! It’s just so stupid!!! Not offering ANYTHING, but the things that I can see in my vehicle. Y’all need to RECTIFY THIS!!!!!!!","1.00",TOYOTA,IOS
"",Is nice please keep apdate,"5.00",TOYOTA,ANDROID
"",App would not launch so un-installed and installed again. Now I cannot get digital key to launch at all and i still only have one key. Please address,"2.00",TOYOTA,ANDROID
Poorly done and dangerous (can get you stranded),"It could be a great app if done right. I like remote lock/unlock, start and health features. 
Those work pretty reliably. Now about the problems.
First, the app need active internet connection to work. So it’s useless if you park in an underground garage or drive to some remote places. The digital key won’t work, and you can get stranded if you park somewhere without reception and don’t have the real key with you.
Second, the “find” tab sometimes does not update the location. I had my Lexus towed recently and tried to use the app to locate the car. But it was pointing to a place I was at a day before (e.g. not the last parking location)
Overall I expected much higher quality from Toyota","1.00",LEXUS,IOS
Very confusing,This app is one of the worst for connecting to the vehicle… I can’t believe it supports a 375 digital key option… don’t waste your money and ask the dealer to discount it for you.,"1.00",LEXUS,IOS
